,date,close,volume,volume_avg,trade_flag,shadow_sum,fee,num,dPrice,sum,dTime,dCode,cash,val,secVal,margin_ratio,open_num,trade_way,pos_num
TF.CFE,2015-10-13 15:15:00,100.28,3909.0,1783.2,1,-1,40,-50000.0,100.28,-5014000.0,2015-10-13 15:15:00,TF.CFE,1180330.0,1180330.0,0,0.0,38,多开,1
TF.CFE,2015-10-14 10:00:00,100.485,2151.0,2639.2,0,0,0.0,50000.0,100.485,5024250.0,2015-10-14 10:00:00,TF.CFE,6194290.0,1172540.0,-5021750.0,0.0,38,多平,1
TF.CFE,2016-01-29 09:30:00,100.64,2593.0,1048.8,1,-1,40,-50000.0,100.64,-5032000.0,2016-01-29 09:30:00,TF.CFE,1170040.0,1170040.0,0,0.0,39,多开,1
TF.CFE,2016-02-01 10:00:00,100.785,1046.0,895.8,0,0,0.0,50000.0,100.785,5039250.0,2016-02-01 10:00:00,TF.CFE,6202000.0,1160750.0,-5041250.0,0.0,39,多平,1
TF.CFE,2016-02-03 09:30:00,100.47,2985.0,1265.2,1,1,40,50000.0,100.47,5023500.0,2016-02-03 09:30:00,TF.CFE,1162750.0,1162750.0,0,0.0,40,多开,1
TF.CFE,2016-02-04 10:00:00,100.705,1122.0,1099.6,0,0,0.0,-50000.0,100.705,-5035250.0,2016-02-04 10:00:00,TF.CFE,-3860790.0,1172710.0,5033500.0,0.0,40,多平,1
TF.CFE,2016-02-25 09:30:00,100.365,2350.0,938.2,1,1,40,50000.0,100.365,5018250.0,2016-02-25 09:30:00,TF.CFE,1174460.0,1174460.0,0,0.0,41,多开,1
TF.CFE,2016-02-26 10:00:00,100.34,471.0,989.8,0,0,0.0,-50000.0,100.34,-5017000.0,2016-02-26 10:00:00,TF.CFE,-3843830.0,1173170.0,5017000.0,0.0,41,多平,1
TF.CFE,2016-05-03 09:30:00,99.835,649.0,244.6,1,1,40,50000.0,99.835,4991750.0,2016-05-03 09:30:00,TF.CFE,1173170.0,1173170.0,0,0.0,42,多开,1
TF.CFE,2016-05-04 10:00:00,99.98,239.0,242.2,0,0,0.0,-50000.0,99.98,-4999000.0,2016-05-04 10:00:00,TF.CFE,-3818620.0,1179130.0,4997750.0,0.0,42,多平,1
TF.CFE,2016-05-10 09:30:00,100.42,889.0,397.2,1,1,40,50000.0,100.42,5021000.0,2016-05-10 09:30:00,TF.CFE,1180380.0,1180380.0,0,0.0,43,多开,1
TF.CFE,2016-05-11 10:00:00,100.285,267.0,392.8,0,0,0.0,-50000.0,100.285,-5014250.0,2016-05-11 10:00:00,TF.CFE,-3840660.0,1174840.0,5015500.0,0.0,43,多平,1
TF.CFE,2016-11-09 13:15:00,101.83,1626.0,716.6,1,-1,40,-50000.0,101.83,-5091500.0,2016-11-09 13:15:00,TF.CFE,1173590.0,1173590.0,0,0.0,44,多开,1
